loss,grad_norm,learning_rate,num_tokens,completions/mean_length,completions/min_length,completions/max_length,completions/clipped_ratio,completions/mean_terminated_length,completions/min_terminated_length,completions/max_terminated_length,rewards/reward_func/mean,rewards/reward_func/std,reward,reward_std,frac_reward_zero_std,kl,entropy,clip_ratio/low_mean,clip_ratio/low_min,clip_ratio/high_mean,clip_ratio/high_max,clip_ratio/region_mean,step_time,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.0,1.7327316527371295e-05,8e-06,4532.0,591.0,591.0,591.0,0.0,591.0,591.0,591.0,0.5651199817657471,0.0,0.5651199817657471,0.0,1.0,7.327034423632028e-08,0.0018559794698376209,0.0,0.0,0.0,0.0,0.0,35.856939627999964,0.027777777777777776,1,,,,,
0.0,0.0006797579117119312,7.967999999999999e-06,9876.0,766.0,766.0,766.0,0.0,766.0,766.0,766.0,0.7497299909591675,0.0,0.7497299909591675,0.0,1.0,3.6849054083631927e-06,0.002289429947268218,0.0,0.0,0.0,0.0,0.0,45.62979769499907,0.05555555555555555,2,,,,,
0.0,1.0110624089065823e-06,7.936e-06,14100.0,580.0,580.0,580.0,0.0,580.0,580.0,580.0,0.5724400281906128,0.0,0.5724400281906128,0.0,1.0,7.067774854263575e-08,0.001918816677061841,0.0,0.0,0.0,0.0,0.0,35.257004589000644,0.08333333333333333,3,,,,,
0.0001,0.05187263712286949,7.904e-06,18636.0,591.0,591.0,591.0,0.0,591.0,591.0,591.0,0.5631849765777588,0.0,0.5631849765777588,0.0,1.0,0.0013145771827112185,0.0035315119312144816,0.0,0.0,0.0,0.0,0.0,37.25819131500066,0.1111111111111111,4,,,,,
0.0,0.009898495860397816,7.872e-06,22988.0,618.0,618.0,618.0,0.0,618.0,618.0,618.0,0.9585450291633606,0.0,0.9585450291633606,0.0,1.0,6.256329561438179e-05,0.0038621031562797725,0.0,0.0,0.0,0.0,0.0,36.44022626300102,0.1388888888888889,5,,,,,
0.0,0.0036732186563313007,7.84e-06,27868.0,672.0,672.0,672.0,0.0,672.0,672.0,672.0,0.7493100166320801,0.0,0.7493100166320801,0.0,1.0,2.347070358155179e-05,0.003325200465042144,0.0,0.0,0.0,0.0,0.0,40.28125639299833,0.16666666666666666,6,,,,,
0.3688,5.925633907318115,7.807999999999999e-06,32150.0,605.5,375.0,1052.0,0.0,605.5,375.0,1052.0,0.4174262583255768,0.2566175162792206,0.4174262583255768,0.2566175162792206,0.0,0.007529918453656137,0.17502095736563206,0.0,0.0,0.0,0.0,0.0,61.45022191099815,0.19444444444444445,7,,,,,
-0.0012,0.6079719662666321,7.776e-06,37627.0,735.25,733.0,736.0,0.0,735.25,733.0,736.0,0.6774912476539612,0.1444775015115738,0.6774912476539612,0.1444774866104126,0.0,0.0091409666929394,0.003651066741440445,0.0,0.0,0.0,0.0,0.0,45.29711981099899,0.2222222222222222,8,,,,,
-0.0,3.036479949951172,7.743999999999999e-06,41728.0,559.25,258.0,676.0,0.0,559.25,258.0,676.0,0.37599000334739685,0.056238170713186264,0.37599000334739685,0.05623817443847656,0.0,0.005230165057582781,0.09261542954482138,0.0,0.0,0.0,0.0,0.0,40.103881895000086,0.25,9,,,,,
0.0,0.002111994195729494,7.712e-06,47084.0,771.0,771.0,771.0,0.0,771.0,771.0,771.0,0.9313650131225586,0.0,0.9313650131225586,0.0,1.0,0.0006428029228118248,0.0026564807631075382,0.0,0.0,0.0,0.0,0.0,46.96796751399961,0.2777777777777778,10,,,,,
0.0,0.00558240944519639,7.68e-06,51652.0,672.0,672.0,672.0,0.0,672.0,672.0,672.0,0.8729299902915955,0.0,0.8729299902915955,0.0,1.0,3.7914319364062976e-05,0.002306355338077992,0.0,0.0,0.0,0.0,0.0,39.96892141600074,0.3055555555555556,11,,,,,
0.0,0.0017429919680580497,7.647999999999999e-06,56576.0,676.0,676.0,676.0,0.0,676.0,676.0,676.0,0.5867099761962891,0.0,0.5867099761962891,0.0,1.0,7.153924258318511e-06,0.0030091169173829257,0.0,0.0,0.0,0.0,0.0,39.77288037799917,0.3333333333333333,12,,,,,
0.3278,2.3233418464660645,7.616e-06,63390.0,1087.5,850.0,1800.0,0.25,850.0,850.0,850.0,0.7264137268066406,0.2459225058555603,0.7264137268066406,0.2459225058555603,0.0,0.005867733570795508,0.010507524712011218,0.0,0.0,0.0,0.0,0.0,104.20909734599991,0.3611111111111111,13,,,,,
0.0579,3.4010491371154785,7.583999999999999e-06,69692.0,1107.5,698.0,1800.0,0.25,876.6666870117188,698.0,982.0,0.4359924793243408,0.1409050077199936,0.4359924793243408,0.1409050077199936,0.0,0.027907362557016313,0.07279006112366915,0.0,0.0,0.0,0.0,0.0,105.0077450680019,0.3888888888888889,14,,,,,
