entropy,epoch,grad_norm,learning_rate,loss,mean_token_accuracy,num_tokens,step
1.7790393233299255,0.1111111111111111,1.6145133972167969,2e-05,1.6154,0.6945995539426804,5075.0,1
1.6268100142478943,0.2222222222222222,1.3291466236114502,1.997777777777778e-05,1.2756,0.7648026049137115,9903.0,2
1.7013821005821228,0.3333333333333333,1.246760368347168,1.9955555555555557e-05,1.3626,0.7342914044857025,14818.0,3
1.819903701543808,0.4444444444444444,1.4210397005081177,1.9933333333333334e-05,1.4792,0.7232275903224945,19335.0,4
1.8422745168209076,0.5555555555555556,1.3560155630111694,1.9911111111111112e-05,1.5279,0.7095911353826523,24264.0,5
1.6054210364818573,0.6666666666666666,1.0212074518203735,1.988888888888889e-05,1.2067,0.769284263253212,29568.0,6
1.7111178934574127,0.7777777777777778,1.0626749992370605,1.9866666666666667e-05,1.2577,0.7545371353626251,34522.0,7
1.6901349127292633,0.8888888888888888,1.1563665866851807,1.9844444444444445e-05,1.3639,0.7464020997285843,39916.0,8
1.703033059835434,1.0,1.0597833395004272,1.9822222222222226e-05,1.2916,0.7493586838245392,45334.0,9
1.6931732594966888,1.1111111111111112,0.9726640582084656,1.98e-05,1.2327,0.759389266371727,50248.0,10
1.8056593239307404,1.2222222222222223,1.2515063285827637,1.977777777777778e-05,1.3433,0.7402989417314529,55317.0,11
1.8389351963996887,1.3333333333333333,1.327181100845337,1.9755555555555555e-05,1.4054,0.7183978259563446,60373.0,12
1.703029602766037,1.4444444444444444,1.0325596332550049,1.9733333333333336e-05,1.2146,0.7674786746501923,65188.0,13
1.741863340139389,1.5555555555555556,1.0729877948760986,1.971111111111111e-05,1.285,0.7531676739454269,70353.0,14
1.6582541465759277,1.6666666666666665,0.9336659908294678,1.968888888888889e-05,1.1363,0.7840953171253204,75435.0,15
1.5899702608585358,1.7777777777777777,0.8630799651145935,1.9666666666666666e-05,0.9466,0.8211638629436493,80156.0,16
1.662531465291977,1.8888888888888888,1.0211186408996582,1.9644444444444447e-05,1.1546,0.7795836180448532,85270.0,17
1.592832326889038,2.0,0.8259009122848511,1.9622222222222224e-05,1.0587,0.7865225374698639,90668.0,18
1.5417155027389526,2.111111111111111,0.8132965564727783,1.9600000000000002e-05,1.0098,0.8078454285860062,95840.0,19
1.602717250585556,2.2222222222222223,0.8902668356895447,1.957777777777778e-05,0.9923,0.8023221641778946,100566.0,20
1.7300514876842499,2.3333333333333335,1.2918981313705444,1.9555555555555557e-05,1.2389,0.7544311732053757,105584.0,21
1.613157719373703,2.4444444444444446,0.9547831416130066,1.9533333333333335e-05,1.0401,0.7847186326980591,110562.0,22
1.5052390396595001,2.5555555555555554,1.016124963760376,1.9511111111111113e-05,1.0138,0.8017292320728302,116125.0,23
1.5732761025428772,2.6666666666666665,1.035224199295044,1.948888888888889e-05,1.0038,0.8078421354293823,121169.0,24
1.689462035894394,2.7777777777777777,1.2186880111694336,1.9466666666666668e-05,1.1105,0.7876258492469788,125973.0,25
1.5321581959724426,2.888888888888889,0.9253650903701782,1.9444444444444445e-05,0.987,0.8044285774230957,131066.0,26
1.5593765079975128,3.0,1.0013002157211304,1.9422222222222223e-05,0.9674,0.802315816283226,136002.0,27
1.5197457373142242,3.111111111111111,1.023182988166809,1.94e-05,0.9482,0.8075468242168427,140934.0,28
1.3380430340766907,3.2222222222222223,0.9982361793518066,1.9377777777777778e-05,0.873,0.8169126361608505,146894.0,29
1.4631231725215912,3.3333333333333335,1.0079189538955688,1.9355555555555556e-05,0.9275,0.8083601146936417,152188.0,30
1.534446895122528,3.4444444444444446,1.110953450202942,1.9333333333333333e-05,0.9162,0.8160503506660461,156784.0,31
1.4752520620822906,3.5555555555555554,1.09871244430542,1.931111111111111e-05,0.8661,0.8261186480522156,161378.0,32
1.4780245423316956,3.6666666666666665,1.0971753597259521,1.928888888888889e-05,0.8925,0.812835082411766,166451.0,33
1.4277414977550507,3.7777777777777777,1.079704761505127,1.926666666666667e-05,0.878,0.8091380447149277,171693.0,34
1.3670636415481567,3.888888888888889,1.275963544845581,1.9244444444444444e-05,0.7953,0.8370843678712845,176471.0,35
1.3628612160682678,4.0,1.1968002319335938,1.9222222222222225e-05,0.8483,0.8218727558851242,181336.0,36
1.3177975416183472,4.111111111111111,0.9523807764053345,1.9200000000000003e-05,0.757,0.8396230340003967,186719.0,37
1.3328298032283783,4.222222222222222,1.1161460876464844,1.917777777777778e-05,0.7786,0.833207979798317,191556.0,38
1.4527374505996704,4.333333333333333,1.4449620246887207,1.9155555555555558e-05,0.7797,0.8283995985984802,196628.0,39
1.382850170135498,4.444444444444445,1.35311758518219,1.9133333333333335e-05,0.7477,0.8423534035682678,201663.0,40
1.414864867925644,4.555555555555555,1.4845744371414185,1.9111111111111113e-05,0.7438,0.8302536755800247,206736.0,41
1.2350446283817291,4.666666666666667,0.9377397298812866,1.908888888888889e-05,0.6461,0.8631401658058167,211927.0,42
1.2982152700424194,4.777777777777778,1.1097644567489624,1.9066666666666668e-05,0.7485,0.8408656865358353,217171.0,43
1.3396402597427368,4.888888888888889,1.3433420658111572,1.9044444444444446e-05,0.6762,0.8507875502109528,222164.0,44
1.3306595385074615,5.0,1.367803931236267,1.9022222222222223e-05,0.6369,0.8595455884933472,226670.0,45
1.2527667582035065,5.111111111111111,1.4444504976272583,1.9e-05,0.6939,0.8466376960277557,231737.0,46
1.175446480512619,5.222222222222222,1.4313251972198486,1.897777777777778e-05,0.6451,0.855296790599823,237336.0,47
1.3041543364524841,5.333333333333333,1.3506550788879395,1.895555555555556e-05,0.585,0.867446780204773,242203.0,48
1.263235628604889,5.444444444444445,1.2419546842575073,1.8933333333333334e-05,0.564,0.868845209479332,247193.0,49
1.2544432878494263,5.555555555555555,1.377903699874878,1.8911111111111115e-05,0.5566,0.8704309463500977,252299.0,50
1.2608579695224762,5.666666666666667,1.3505460023880005,1.888888888888889e-05,0.5218,0.8793685138225555,256658.0,51
1.1970143020153046,5.777777777777778,1.3798104524612427,1.886666666666667e-05,0.4975,0.8880570530891418,261488.0,52
1.173891618847847,5.888888888888889,1.2376341819763184,1.8844444444444444e-05,0.5489,0.8744295239448547,267050.0,53
