loss,grad_norm,learning_rate,entropy,num_tokens,logits/chosen,logits/rejected,mean_token_accuracy,rewards/chosen,rewards/rejected,rewards/accuracies,rewards/margins,logps/chosen,logps/rejected,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.6931,0.0,5e-06,0.1333205234259367,9711.0,-0.8176338713514021,-0.814101014580677,0.9756435304880142,0.0,0.0,0.0,0.0,-65.53542923927307,-133.7281494140625,0.4444444444444444,1,,,,,
0.6931,0.0,5e-06,0.13119380036368966,20220.0,-0.8401281529010229,-0.8019677180584024,0.9565681517124176,0.0,0.0,0.0,0.0,-133.95770454406738,-97.95173788070679,0.8888888888888888,2,,,,,
0.6931,0.0,5e-06,0.07156739383935928,23639.0,-1.3251773798203044,-1.284386734501008,0.9905561208724976,0.0,0.0,0.0,0.0,-48.439693450927734,-138.1756591796875,1.0,3,,,,,
0.6931,0.0,5e-06,0.08313708333298564,35094.0,-0.9224903413954303,-0.9101786348061329,0.9849786460399628,0.0,0.0,0.0,0.0,-43.60930371284485,-100.59751653671265,1.4444444444444444,4,,,,,
0.6931,258.2474060058594,5e-06,0.10645756404846907,44629.0,-0.758161033392428,-0.7365093113428195,0.9805863499641418,0.0,0.0,0.0,0.0,-55.341379165649414,-110.92476272583008,1.8888888888888888,5,,,,,
1.0076,0.0,4.9722222222222224e-06,0.3715461790561676,47278.0,-1.2470318080357143,-1.1821693137839988,0.8537142872810364,-0.387612909078598,0.165679931640625,0.0,-0.5532928705215454,-454.4856262207031,-217.1492919921875,2.0,6,,,,,
0.2425,152.57493591308594,4.9722222222222224e-06,0.11715510673820972,56391.0,-0.769542355661925,-0.7402929347482567,0.9822347462177277,0.25871289521455765,-1.7130041718482971,1.0,1.9717170223593712,-46.553958892822266,-124.7536849975586,2.4444444444444446,7,,,,,
0.4696,262.4668884277344,4.944444444444445e-06,0.15752033609896898,67633.0,-1.0704493801715917,-1.0512323894593893,0.9501239508390427,0.21939639747142792,-1.7164974715560675,0.75,1.9358938932418823,-154.63174629211426,-169.46782112121582,2.888888888888889,8,,,,,
0.707,83.5190200805664,4.9166666666666665e-06,0.030322153121232986,70917.0,-0.7512099798901941,-0.7504429568796285,0.9948927760124207,0.08479442447423935,0.11239433288574219,0.0,-0.027599908411502838,-21.697092056274414,-24.0653018951416,3.0,9,,,,,
0.1446,14.714033126831055,4.888888888888889e-06,0.1575242392718792,82031.0,-0.9812290344778241,-0.9279933850605392,0.9540762007236481,0.6733558773994446,-4.616330649703741,1.0,5.289686471223831,-138.6870367527008,-187.81476163864136,3.4444444444444446,10,,,,,
0.0487,23.261276245117188,4.861111111111111e-06,0.08914993703365326,92243.0,-0.8695361550645573,-0.8854789268779765,0.9798630774021149,-0.675570897758007,-5.443420886993408,1.0,4.767849922180176,-56.716254234313965,-158.53604125976562,3.888888888888889,11,,,,,
0.0025,2.146790027618408,4.833333333333333e-06,0.1496177464723587,94556.0,-0.7149592255547134,-0.6702090734722971,0.9856670498847961,2.02942156791687,-3.955980062484741,1.0,5.985401630401611,-44.593448638916016,-121.44184875488281,4.0,12,,,,,
0.1049,11.334967613220215,4.805555555555556e-06,0.08782875165343285,104736.0,-0.7824501646795334,-0.7057602649674524,0.9898627400398254,0.23848022590391338,-6.31744472682476,1.0,6.555924788117409,-30.21099328994751,-144.490385055542,4.444444444444445,13,,,,,
0.0092,3.6784234046936035,4.777777777777778e-06,0.1594768799841404,115549.0,-1.009076885096444,-1.03018186264683,0.9462950825691223,-0.1521991789340973,-7.252309799194336,1.0,7.100110769271851,-157.07886123657227,-203.9296112060547,4.888888888888889,14,,,,,
0.0,0.06209028512239456,4.75e-06,0.1538705676794052,118195.0,-0.9670474890506628,-0.9960669256319665,0.9760100841522217,0.551190972328186,-9.715153694152832,1.0,10.266345024108887,-88.28965759277344,-311.15692138671875,5.0,15,,,,,
0.0762,8.601115226745605,4.722222222222222e-06,0.15963838528841734,130193.0,-1.0812895878309352,-1.0650432360231907,0.9541262090206146,0.4554329738020897,-7.512326776981354,1.0,7.967759847640991,-149.29461860656738,-224.16736221313477,5.444444444444445,16,,,,,
0.002,0.6648321747779846,4.694444444444445e-06,0.10666265804320574,139299.0,-0.7165384299616675,-0.7309454797751026,0.9794452339410782,-0.43766315281391144,-8.65867006778717,1.0,8.221006870269775,-58.44917011260986,-176.6151294708252,5.888888888888889,17,,,,,
0.0,0.010024840012192726,4.666666666666667e-06,0.07598179578781128,141834.0,-0.9738665303342077,-0.7865261730847058,0.9927641153335571,-0.09420394897460938,-11.752240180969238,1.0,11.658036231994629,-15.668320655822754,-226.12750244140625,6.0,18,,,,,
0.0566,2.616168737411499,4.638888888888889e-06,0.09363440051674843,152509.0,-0.794194947329123,-0.8461831983208403,0.9773137718439102,-0.917271283455193,-7.638029932975769,1.0,6.720758497714996,-69.05393505096436,-178.34003257751465,6.444444444444445,19,,,,,
0.0,0.020419327542185783,4.611111111111112e-06,0.17362611554563046,162938.0,-1.0116662496783615,-0.9585310110857473,0.9563278257846832,0.6771352887153625,-10.808443307876587,1.0,11.485578775405884,-141.26891136169434,-245.19722366333008,6.888888888888889,20,,,,,
0.0,0.005966858472675085,4.583333333333333e-06,0.0767473503947258,165473.0,-0.9754758798955319,-0.7876423328846425,0.9927641153335571,-0.13670912384986877,-12.309123039245605,1.0,12.17241382598877,-16.093372344970703,-231.6963348388672,7.0,21,,,,,
0.0488,2.654893636703491,4.555555555555556e-06,0.07323737535625696,177017.0,-0.8926995237759592,-0.8698682758957024,0.9882251769304276,-0.09958630800247192,-8.016401171684265,1.0,7.9168150424957275,-43.5769829750061,-151.03180980682373,7.444444444444445,22,,,,,
0.0,0.03045419044792652,4.527777777777778e-06,0.19494675658643246,186577.0,-0.9089879291468415,-0.9322136820467009,0.9433780461549759,-0.3802787475287914,-11.927528142929077,1.0,11.54724931716919,-169.14315509796143,-287.4800033569336,7.888888888888889,23,,,,,
0.0,0.004152373410761356,4.5e-06,0.07758698612451553,189112.0,-0.970750115887301,-0.7816912676836993,0.9927641153335571,-0.14798574149608612,-12.694724082946777,1.0,12.546738624572754,-16.206138610839844,-235.55233764648438,8.0,24,,,,,
0.0002,0.06106375902891159,4.472222222222223e-06,0.08632964547723532,199811.0,-0.939040832533838,-0.9282442503711318,0.9802021533250809,-1.606268435716629,-11.937492370605469,1.0,10.331224203109741,-62.648749351501465,-223.2311897277832,8.444444444444445,25,,,,,
